Genre,Video title,Video publish time,Views,QTY Usuarios,Watch Total time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%),Pais,Ingresos
film,"To BE or Not To BE | Short film | no dialogue, single character film | VamshiVk",19-jul-22,1,1,0.0039,0,00:00:13,54,1.85,Brasil,666630
comedy,GUESS THE CHIP Challenge | vamshivk,24-jul-22,,,,,,,,,
travel,How many of you had this childhood ?  | after 17 years going to my pre KG school | vloGO Vk,05-sep-22,,,,,,,,,
bike service,CLARIFICATION on DIO Mileage test videos | DIO BS6 MILEAGE TEST | vloGO Vk | VAMSHI VK,14-sep-22,,,,,,,,,
travel,MEDAK CHURCH ki velthey... | Telugu MotoVlogs | vloGO Vk | VamshiVk,01-oct-22,1,1,0.106,0,00:06:21,66,1.52,EU,814770
travel,Tirumala Trip in Sequence  | DAY 1 | Telugu vlog  | Train Journey  |  VamshiVk,09-oct-22,82,76,2.242,0,00:01:38,1106,5.15,Japon,13653570
travel,Tirumala Trip in Sequence | DAY 2 | Tiruchaanoor - Kapila theertham  Telugu vlog |  vloGO Vk,16-oct-22,115,107,8.3785,2,00:04:22,1013,8.49,EU,12505485
travel,Tirumala Trip in Sequence | DAY 3 | ALIPIRI METTU TREK |  Telugu vlog |  vloGO Vk | Vamshi Vk,25-oct-22,60,56,5.963,0,00:05:57,665,5.26,Japon,8209425
travel,Tirumala Trip in Sequence | DAY 4 | BRAHMOSTAVALU | sight seeing places Telugu vlog |  vloGO Vk,01-nov-22,30,28,2.3978,0,00:04:47,247,5.67,EU,3049215
travel,Tirupati to Srikalahasti | DAY 5&6 | Tirumala Darshanam Correct Sequence | Telugu vlog |  vloGO Vk,08-nov-22,170,157,5.8646,0,00:02:04,1740,7.59,USA,21480300
travel,Come lets go to a 2200 year old ancient temple | Gudimallam | Telugu vlog | vloGO Vk | VamshiVk,15-nov-22,2,2,0.0069,0,00:00:12,65,3.08,Brasil,802425
travel,MAHULI FORT | an adventurous trek experience  | vloGO vk | vamshi vk,23-nov-22,4,4,0.3872,0,00:05:48,64,3.13,USA,790080
film,Nirvana | Episode - 2 | New Telugu Series 2023  | Vamshi Vk,07-may-23,5,5,0.0246,0,00:00:17,143,0.7,USA,1765335
film,Nirvana | Episode - 3 | New Telugu Series 2023 |Vamshi Vk,15-may-23,6,10,0.2226,1,00:02:13,196,2.55,Japon,2419620
film,Nirvana | New Telugu Short film 2023 | Vamshi Vk,21-may-23,4,5,0.0245,0,00:00:22,166,1.2,Japon,2049270
travel,SUNRISE at koheda gutta | The hidden gem of hyderabad | Telugu Motovlog | Vamshivk,11-Apr-22,22,21,0.6435,0,00:01:45,153,9.15,Brasil,1888785
travel,In search of waterfalls | Palakonda Adventurous trek | part II | KADAPA | vamshivk,15-Aug-22,,0,,,,,,,
film,Nirvana | New Telugu Series 2023 | TRAILER | Vamshi Vk,20-Apr-23,4,4,0.0235,0,00:00:21,130,2.31,Japon,1604850
travel,Dakshin Express General coach experience  | Secunderabad to Nagpur,25-Aug-22,34,32,0.8198,0,00:01:26,274,10.95,EU,3382530
travel,Ala  NALLAMALA  Adavullo | Nallamala forest telugu vlog | vloGO Vk  | vamshiVk,27-Aug-22,1,1,0.005,0,00:00:18,36,2.78,Japon,444420
film,Nirvana | Episode - 1 | New Telugu Series 2023 | with English Subtitles | Vamshi Vk,30-Apr-23,14,13,0.2204,0,00:00:56,306,3.27,USA,3777570
travel,An ADVENTUROUS TREK to PALAKONDALU | waterfalls | kadapa | vamshivk,6-Aug-22,1,1,0.0002,,00:00:00,44,0,Brasil,543180
travel,Tirumala Trip in Sequence | DAY 2 | Tiruchaanoor - Kapila theertham  Telugu vlog |  vloGO Vk,16-oct-22,115,107,8.3785,2,00:04:22,1013,8.49,EU,12505485
travel,Tirumala Trip in Sequence | DAY 2 | Tiruchaanoor - Kapila theertham  Telugu vlog |  vloGO Vk23,19-oct-22,123,107,8.3785,2,00:04:22,1013,8.49,EU,12505485
travel,Tirumala Trip in Sequence | DAY 3 | ALIPIRI METTU TREK |  Telugu vlog |  vloGO Vk | Vamshi Vk34,25-oct-22,60,87,5.963,0,00:05:57,665,5.26,Brasil,8209425
travel,Tirumala Trip in Sequence | DAY 4 | BRAHMOSTAVALU | sight seeing places Telugu vlog |  vloGO Vk,19-ene-23,35,28,2.3978,0,00:04:47,247,5.67,USA,3049215
